Column1,Column2,Column3
Verse,Reference,Theme
"and not only that, but we ourselves, who have the firstfruits of the Spirit, we also groan within ourselves as we wait for adoption, the redemption of our bodies.",Romans 8:23,Waiting and Hoping to Meet the Father
"Paul was aware that some were Sadducees and some Pharisees, so he called out before the Sanhedrin, â€œMy brothers, I am a Pharisee, the son of Pharisees; [I] am on trial for hope in the resurrection of the dead.â€",Acts 23:6,Courage and Faith
"A large crowd followed him, because they saw the signs he was performing on the sick.",John 6:2,Miracles and Healing
"Exhortation to Be Vigilant. â€œBeware that your hearts do not become drowsy from carousing and drunkenness and the anxieties of daily life, and that day catch you by surprise",Luke 21:34,Vigilance and Warning
Even the high priest and the whole council of elders can testify on my behalf. For from them I even received letters to the brothers and set out for Damascus to bring back to Jerusalem in chains for punishment those there as well.,Acts 22:5,Testimony of Innocence and Speaking the Truth
"He said to them in reply, â€œGive them some food yourselves.â€ But they said to him, â€œAre we to buy two hundred daysâ€™ wages worth of food and give it to them to eat?â€",Mark 6:37,"Anxiety, Challenges, and Doubting Personal Ability"
"The centurion who witnessed what had happened glorified God and said, â€œThis man was innocent beyond doubt.â€",Luke 23:47,The Power of Testimony in Strengthening Faith
in him every believer is justified.,Acts 13:39,Justification by Faith
"I entrust this charge to you, Timothy, my child, in accordance with the prophetic words once spoken about you. Through them may you fight a good fight",1Timothy 1:18,Faith and Trust That God's Word Protects Me
The Canticle of Mary. And Mary said: â€œMy soul proclaims the greatness of the Lord;,Luke 1:46,Praise and Thanksgiving
"What is the meaning of his saying, â€˜You will look for me and not find [me], and where I am you cannot comeâ€™?â€ Rivers of Living Water.",John 7:36,Spiritual Understanding
"They were all weeping loudly as they threw their arms around Paul and kissed him,",Acts 20:37,Sorrow and Love
"Let them alone; they are blind guides (of the blind). If a blind person leads a blind person, both will fall into a pit.â€",Matthew 15:14,Warning Against Deception
The Presbyter to the chosen Lady and to her children whom I love in truthâ€”and not only I but also all who know the truthâ€”,2John 1:1,Love in Truth
"Many will follow their licentious ways, and because of them the way of truth will be reviled.",2Peter 2:2,Warning Against Corruption
"But Jesus said in reply, â€œStop, no more of this!â€ Then he touched the servantâ€™s ear and healed him.",Luke 22:51,Healing and Love
"Jesus told them, â€œFill the jars with water.â€ So they filled them to the brim.",John 2:7,Obedience and Faith
"For one believes with the heart and so is justified, and one confesses with the mouth and so is saved.",Romans 10:10,Faith in the Heart
and free those who through fear of death had been subject to slavery all their life.,Hebrews 2:15,Freedom from Fear
"but I see in my members another principle at war with the law of my mind, taking me captive to the law of sin that dwells in my members.",Romans 7:23,Spiritual Struggle with Sin
"the son of Melchi, the son of Addi, the son of Cosam, the son of Elmadam, the son of Er,",Luke 3:28,Lineage and History
"theirs the patriarchs, and from them, according to the flesh, is the Messiah. God who is over all be blessed forever. Amen.",Romans 9:5,God’s Blessing
You denied the Holy and Righteous One and asked that a murderer be released to you.,Acts 3:14,Denial
"and to bring to light [for all] what is the plan of the mystery hidden from ages past in God who created all things,",Ephesians 3:9,The Divine Mystery
"Then after this he said to his disciples, â€œLet us go back to Judea.â€",John 11:7,Returning Home
I consider that the sufferings of this present time are as nothing compared with the glory to be revealed for us.,Romans 8:18,Hope and Aspiration for the Coming Glory
"I heard a voice from heaven say, â€œWrite this: Blessed are the dead who die in the Lord from now on.â€ â€œYes,â€ said the Spirit, â€œlet them find rest from their labors, for their works accompany them.â€ The Harvest of the Earth.",Revelation 14:13,Dying for the Lord
"If at Ephesus I fought with beasts, so to speak, what benefit was it to me? If the dead are not raised: â€œLet us eat and drink, for tomorrow we die.â€",1Corinthians 15:32,No Meaning to Death Without Resurrection
for through him we both have access in one Spirit to the Father.,Ephesians 2:18,Reaching the Father in Spirit
"And you also testify, because you have been with me from the beginning.",John 15:27,Testimony of Those Who Witnessed God
"then all of you and all the people of Israel should know that it was in the name of Jesus Christ the Nazorean whom you crucified, whom God raised from the dead; in his name this man stands before you healed.",Acts 4:10,"Power in the Name of the Risen, Present Jesus"
"For to me life is Christ, and death is gain.",Philippians 1:21,No Death with Christ
"Be angry but do not sin; do not let the sun set on your anger,",Ephesians 4:26,Do Not Prolong Anger
Once you were â€œno peopleâ€ but now you are Godâ€™s people; you â€œhad not received mercyâ€ but now you have received mercy.,1Peter 2:10,"God’s People, i.e., the Church"
"Then the disciples approached Jesus in private and said, â€œWhy could we not drive it out?â€",Matthew 17:19,Christ Has the Right Answers
"For behold, some are last who will be first, and some are first who will be last.â€",Luke 13:30,The First and the Last
"When the Samaritans came to him, they invited him to stay with them; and he stayed there two days.",John 4:40,"The Call to Stay, Christ Fulfills the Call"
â€œFor this reason they stand before Godâ€™s throne and worship him day and night in his temple. The one who sits on the throne will shelter them.,Revelation 7:15,Worship in Heaven
"Therefore, a bishop must be irreproachable, married only once, temperate, self-controlled, decent, hospitable, able to teach,",1Timothy 3:2,Qualities of a Bishop
The sailors then tried to abandon ship; they lowered the dinghy to the sea on the pretext of going to lay out anchors from the bow.,Acts 27:30,Abandoning the Ship
"there is no one who understands, there is no one who seeks God.",Romans 3:11,Understanding Is Related to Seeking God’s Will
"For I have come to set a man â€˜against his father, a daughter against her mother, and a daughter-in-law against her mother-in-law;",Matthew 10:35,Christ First
"Avoid giving offense, whether to Jews or Greeks or the church of God,",1Corinthians 10:32,Avoid Insult and Respect Others
"who through him believe in God who raised him from the dead and gave him glory, so that your faith and hope are in God. Mutual Love.",1Peter 1:21,Faith in God
"He spoke these words while teaching in the treasury in the temple area. But no one arrested him, because his hour had not yet come. Jesus, the Fatherâ€™s Ambassador.",John 8:20,Jesus’ Teachings Align with the Father’s Will
IV. Justification and the Christian Life Chapter 6 - Freedom from Sin; Life in God. What then shall we say? Shall we persist in sin that grace may abound? Of course not!,Romans 6:1,Freedom from Sin
"Pilate also had an inscription written and put on the cross. It read, â€œJesus the Nazorean, the King of the Jews.â€",John 19:19,"Jesus King of the Jews, Contempt and Mockery"
"When the disciples saw this, they were indignant and said, â€œWhy this waste?",Matthew 26:8,Disciples’ Discontent
"The Second Prediction of the Passion. They left from there and began a journey through Galilee, but he did not wish anyone to know about it.",Mark 9:30,Prediction of Suffering
"Father, glorify your name.â€ Then a voice came from heaven, â€œI have glorified it and will glorify it again.â€",John 12:28,Glory of the Father
"Do you not know that if you present yourselves to someone as obedient slaves, you are slaves of the one you obey, either of sin, which leads to death, or of obedience, which leads to righteousness?",Romans 6:16,Slavery to Whom We Obey
"Those who sleep go to sleep at night, and those who are drunk get drunk at night.",1Thessalonians 5:7,Man Decides What to Do
"So I tell you, her many sins have been forgiven; hence, she has shown great love. But the one to whom little is forgiven, loves little.â€",Luke 7:47,Love and Forgiveness
"When vintage time drew near, he sent his servants to the tenants to obtain his produce.",Matthew 21:34,The Harvest at the Appointed Time
"They said to him, â€œThen why did Moses command that the man give the woman a bill of divorce and dismiss [her]?â€",Matthew 19:7,The Law of Divorce
"But during the night, the angel of the Lord opened the doors of the prison, led them out, and said,",Acts 5:19,Releasing Prisoners
So they set out at once and returned to Jerusalem where they found gathered together the eleven and those with them,Luke 24:33,Returning to Jerusalem
"The men who were traveling with him stood speechless, for they heard the voice but could see no one.",Acts 9:7,Wonder and Confusion
"Luke is the only one with me. Get Mark and bring him with you, for he is helpful to me in the ministry.",2Timothy 4:11,Wisdom in Evangelism
"And apart from these things, there is the daily pressure upon me of my anxiety for all the churches.",2Corinthians 11:28,Spiritual Concerns
"twelve thousand were marked from the tribe of Judah, twelve thousand from the tribe of Reuben, twelve thousand from the tribe of Gad,",Revelation 7:5,Divine Choice
"He said to him, â€˜My friend, how is it that you came in here without a wedding garment?â€™ But he was reduced to silence.",Matthew 22:12,Preparation for the Kingdom
"and she gave birth to her firstborn son. She wrapped him in swaddling clothes and laid him in a manger, because there was no room for them in the inn.",Luke 2:7,Humility and Freedom
