Column1,Column2,Column3
Verse,Reference,Theme
لكي يكون لكم خير وتكونوا طوال الاعمار على الارض.,أفسس ٦ : ٣,والبركة
دائما في كل ادعيتي مقدما الطلبة لاجل جميعكم بفرح,فيلبي ١ : ٤,الشفاعة
واقاموا شهودا كذبة يقولون هذا الرجل لا يفتر عن ان يتكلم كلاما تجديفا ضد هذا الموضع المقدس والناموس.,أعمال الرسل ٦ : ١٣,الاتهام الباطل
فقلت يا رب هم يعلمون اني كنت احبس واضرب في كل مجمع الذين يؤمنون بك.,أعمال الرسل ٢٢ : ١٩,قدرة التحمل
فقال السيد للعبد اخرج الى الطرق والسياجات والزمهم بالدخول حتى يمتلئ بيتي.,لوقا ١٤ : ٢٣,الدعوة والشمولية
فقال له نثنائيل أمن الناصرة يمكن ان يكون شيء صالح. قال له فيلبس تعال وانظر,يوحنا ١ : ٤٦,الشك والاكتشاف
اخيرا ظهر للاحد عشر وهم متكئون ووبخ عدم ايمانهم وقساوة قلوبهم لانهم لم يصدقوا الذين نظروه قد قام.,مرقس ١٦ : ١٤,الإيمان والشك بسبب قساوة القلب
قائلا انه ينبغي ان ابن الانسان يتألم كثيرا ويرفض من الشيوخ ورؤساء الكهنة والكتبة ويقتل وفي اليوم الثالث يقوم,لوقا ٩ : ٢٢,التضحية والرفض من المجتمع والقيامة
ما دعي كل واحد فيه ايها الاخوة فليلبث في ذلك مع الله,كورنثوس الأولى ٧ : ٢٤,دعوة الله المميزة لكل فرد
لكي يكرم الجميع الابن كما يكرمون الآب. من لا يكرم الابن لا يكرم الآب الذي ارسله,يوحنا ٥ : ٢٣,الاعتراف بالوهية الابن
وآيات أخر كثيرة صنع يسوع قدام تلاميذه لم تكتب في هذا الكتاب.,يوحنا ٢٠ : ٣٠,المعجزات وعطاء الله بوفرة
ونعلم ان ابن الله قد جاء واعطانا بصيرة لنعرف الحق. ونحن في الحق في ابنه يسوع المسيح. هذا هو الاله الحق والحياة الابدية.,يوحنا الأولى ٥ : ٢٠,الحق والحياة الأبدية
فقال له لماذا تدعوني صالحا. ليس احد صالحا الا واحد وهو الله. ولكن ان اردت ان تدخل الحياة فاحفظ الوصايا.,متى ١٩ : ١٧,الصلاح والطاعة
فقال لها. لاجل هذه الكلمة اذهبي. قد خرج الشيطان من ابنتك.,مرقس ٧ : ٢٩,التحرر وقوة الإيمان
كي اظهره كما يجب ان اتكلم.,كولوسي ٤ : ٤,الجرأة في إعلان الحق وانسجام القول والعمل
واما انت فلماذا تدين اخاك. او انت ايضا لماذا تزدري باخيك. لاننا جميعا سوف نقف امام كرسي المسيح.,رومية ١٤ : ١٠,الرحمة
وفي الغد نظر يوحنا يسوع مقبلا اليه فقال هوذا حمل الله الذي يرفع خطية العالم.,يوحنا ١ : ٢٩,الوداعة بالمسيح
هكذا اقول لكم يكون فرح قدام ملائكة الله بخاطئ واحد يتوب,لوقا ١٥ : ١٠,التوبة والفرح السماوي
اجاب يسوع وقال لها. كل من يشرب من هذا الماء يعطش ايضا.,يوحنا ٤ : ١٣,العطش الروحي والحياة الأبدية
في تلك الايام اذ كان الجمع كثيرا جدا ولم يكن لهم ما يأكلون دعا يسوع تلاميذه وقال لهم,مرقس ٨ : ١,العناية والاهتمام بالآخرين
وارام ولد عميناداب. وعميناداب ولد نحشون. ونحشون ولد سلمون.,متى ١ : ٤,التاريخ والهوية وتطور الانسان
يا اولادي اكتب اليكم هذا لكي لا تخطئوا. وان اخطأ احد فلنا شفيع عند الآب يسوع المسيح البار,يوحنا الأولى ٢ : ١,المغفرة والشفيع
