Verse,Reference,Theme
"and not only that, but we ourselves, who have the firstfruits of the Spirit, we also groan within ourselves as we wait for adoption, the redemption of our bodies.",Romans 8:23,General
"Paul was aware that some were Sadducees and some Pharisees, so he called out before the Sanhedrin, “My brothers, I am a Pharisee, the son of Pharisees; [I] am on trial for hope in the resurrection of the dead.”",Acts 23:6,General
"A large crowd followed him, because they saw the signs he was performing on the sick.",John 6:2,General
"Exhortation to Be Vigilant. “Beware that your hearts do not become drowsy from carousing and drunkenness and the anxieties of daily life, and that day catch you by surprise",Luke 21:34,General
Even the high priest and the whole council of elders can testify on my behalf. For from them I even received letters to the brothers and set out for Damascus to bring back to Jerusalem in chains for punishment those there as well.,Acts 22:5,General
"He said to them in reply, “Give them some food yourselves.” But they said to him, “Are we to buy two hundred days’ wages worth of food and give it to them to eat?”",Mark 6:37,General
"The centurion who witnessed what had happened glorified God and said, “This man was innocent beyond doubt.”",Luke 23:47,General
in him every believer is justified.,Acts 13:39,General
"I entrust this charge to you, Timothy, my child, in accordance with the prophetic words once spoken about you. Through them may you fight a good fight",1Timothy 1:18,General
The Canticle of Mary. And Mary said: “My soul proclaims the greatness of the Lord;,Luke 1:46,General
"What is the meaning of his saying, ‘You will look for me and not find [me], and where I am you cannot come’?” Rivers of Living Water.",John 7:36,General
"They were all weeping loudly as they threw their arms around Paul and kissed him,",Acts 20:37,General
"Let them alone; they are blind guides (of the blind). If a blind person leads a blind person, both will fall into a pit.”",Matthew 15:14,General
The Presbyter to the chosen Lady and to her children whom I love in truth—and not only I but also all who know the truth—,2John 1:1,General
"Many will follow their licentious ways, and because of them the way of truth will be reviled.",2Peter 2:2,General
"But Jesus said in reply, “Stop, no more of this!” Then he touched the servant’s ear and healed him.",Luke 22:51,General
"Jesus told them, “Fill the jars with water.” So they filled them to the brim.",John 2:7,General
"For one believes with the heart and so is justified, and one confesses with the mouth and so is saved.",Romans 10:10,General
and free those who through fear of death had been subject to slavery all their life.,Hebrews 2:15,General
"but I see in my members another principle at war with the law of my mind, taking me captive to the law of sin that dwells in my members.",Romans 7:23,General
"the son of Melchi, the son of Addi, the son of Cosam, the son of Elmadam, the son of Er,",Luke 3:28,General
"theirs the patriarchs, and from them, according to the flesh, is the Messiah. God who is over all be blessed forever. Amen.",Romans 9:5,General
You denied the Holy and Righteous One and asked that a murderer be released to you.,Acts 3:14,General
"and to bring to light [for all] what is the plan of the mystery hidden from ages past in God who created all things,",Ephesians 3:9,General
"Then after this he said to his disciples, “Let us go back to Judea.”",John 11:7,General
I consider that the sufferings of this present time are as nothing compared with the glory to be revealed for us.,Romans 8:18,General
"I heard a voice from heaven say, “Write this: Blessed are the dead who die in the Lord from now on.” “Yes,” said the Spirit, “let them find rest from their labors, for their works accompany them.” The Harvest of the Earth.",Revelation 14:13,General
"If at Ephesus I fought with beasts, so to speak, what benefit was it to me? If the dead are not raised: “Let us eat and drink, for tomorrow we die.”",1Corinthians 15:32,General
for through him we both have access in one Spirit to the Father.,Ephesians 2:18,General
"And you also testify, because you have been with me from the beginning.",John 15:27,General
